Subject,Name,Grade
Math HL,Student 150,7
Math HL,Student 155,7
Math HL,Student 145,6
Math HL,Student 146,6
Math HL,Student 152,6
Math HL,Student 139,6
Math HL,Student 154,6
Math HL,Student 141,6
Math HL,Student 142,5
Math HL,Student 149,4
Math SL,Student 148,7
Math SL,Student 151,7
Math SL,Student 159,7
Math SL,Student 143,6
Math SL,Student 161,6
Math SL,Student 162,6
Math SL,Student 158,6
Math SL,Student 163,5
Math SL,Student 153,5
Math SL,Student 165,5
Math SL,Student 156,5
Math SL,Student 157,5
Math SL,Student 168,5
Math SL,Student 169,5
Math SL,Student 144,4
Math SL,Student 147,4
Math SL,Student 164,4
Math Studies,Student 190,7
Math Studies,Student 174,7
Math Studies,Student 183,7
Math Studies,Student 184,7
Math Studies,Student 176,7
Math Studies,Student 177,7
Math Studies,Student 189,7
Math Studies,Student 167,7
Math Studies,Student 178,7
Math Studies,Student 140,7
Math Studies,Student 180,7
Math Studies,Student 171,6
Math Studies,Student 173,6
Math Studies,Student 185,6
Math Studies,Student 186,6
Math Studies,Student 188,5
Math Studies,Student 172,5
Math Studies,Student 170,5
Math Studies,Student 182,5
Math Studies,Student 187,5
Math Studies,Student 160,5
Math Studies,Student 175,5
Math Studies,Student 166,5
Math Studies,Student 191,5
Math Studies,Student 179,4
Math Studies,Student 181,4
