Student,Currently in,Recommended Course,num_ops_1_1,num_ops_2_1,num_ops_3_1,num_ops_4_1,alg_exp_1_1,alg_exp_2_1,alg_exp_3_1,alg_exp_4_1,expn_1_1,expn_2_2,num_ops_5_1,linear_1_2,alg_exp_5_2,geom_1_2,linear_3_2,geom_2_1,geom_3_2,func_1_2,quad_1_2,quad_2_2,quad_3_3,linear_4_3,func_2_2,func_3_2,func_4_3,func_5_3,quad_4_3,func_6_3,expn_3_1,expn_4_1,expn_5_2,expn_6_2,expn_7_3,expn_8_2,expn_9_3,quad_5_3
Student 0,Math HL,Math SL,1,1,1,1,0.5,0.5,1,1,0,0,0.5,1,0,0,1,1,1,1,1,1,0.5,0.5,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Student 1,Math HL,Math HL,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0,1,1,1,0,1,0.5,1,1,1,1,1,1,0.5,1
Student 2,Math SL,Math SL,1,1,1,0.5,0,0,1,0,1,0.5,1,0,0.5,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0,0.5,0.5,0,1,0,0
Student 3,Math Studies,Math Studies,0,1,1,0,0,0,1,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Student 4,Math Studies,Math S,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0.5,0
Student 5,Math HL,Math HL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.5,0.5,1,0,1,1,0.5,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5
Student 6,Math SL,Math Studies,1,1,1,0.5,0,1,1,0,0,0,0.5,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0,0,0
Student 7,Math HL,Math SL ,1,1,1,0.5,1,0.5,0.5,0.5,0,0,1,0.5,0.5,0,1,1,1,0,0,1,0.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Student 8,Math SL,Math SL,1,1,1,1,1,1,1,1,1,0.5,1,1,0,1,0.5,1,1,0.5,1,0.5,0.5,1,1,1,1,1,0.5,0.5,1,1,0.5,0,0,0.5,0.5,0
Student 9,Math HL,Math Studies,1,1,1,0.5,1,1,1,1,1,0,1,0.5,1,1,0.5,0,1,0.5,0,0,0,0,1,0,0,0,0.5,0.5,1,1,0.5,0.5,0,0,0,0
Student 10,Math SL,Math Studies,1,1,1,0.5,1,1,1,0.5,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0.5,1,0.5,0,1,1,0,0,1,0.5,0.5,0
Student 11,Math SL,Math Studies,1,1,1,0.5,0.5,0.5,1,0,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0,0,0
Student 12,Math HL,Math Studies,1,0.5,1,0.5,1,1,1,0.5,1,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Student 13,Math SL,Math Studies,1,1,1,0.5,1,0.5,0.5,0.5,1,0.5,1,0,0.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0.5,0,1,0.5,0
Student 14,Math SL,Math Studies,1,1,1,0.5,1,1,1,1,1,1,1,1,0,0.5,0.5,0,0,1,0,0,0,0.5,1,0,0,0,0.5,0.5,1,1,1,0.5,0.5,1,0,0
Student 15,Math SL,Math Studies ,1,1,1,0.5,0,0,0.5,0,1,0.5,0,0.5,0,1,1,1,0,0.5,0,0,0,0,1,0,0,0,0,0.5,1,1,0.5,0.5,0,0.5,0.5,0
Student 16,Math SL,Math SL,1,1,1,1,0,0,1,0.5,1,0,1,1,0,1,0,1,1,0.5,0,0,0,0,1,0,0,0.5,0.5,0.5,1,1,0,0,0,0,0,0
Student 17,Math SL,Math Studies,1,1,1,0.5,1,1,1,0,1,1,0.5,1,0,1,1,1,0,1,0,0,0,0,0.5,1,1,0,0.5,0,1,0,0.5,1,1,1,0,0
Student 18,Math Studies,Math Studies,1,1,1,1,0.5,1,1,0.5,0.5,0.5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0,1,1,1,0,0,0,0,0
Student 19,Math SL,Math Studies,1,1,1,0.5,1,1,1,1,1,1,1,0.5,0.5,1,0.5,1,1,1,0,1,0.5,0,1,1,0,0,0.5,0.5,1,1,0.5,1,1,1,0.5,1
Student 20,Math SL,Math SL,1,1,1,0.5,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1,0,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Student 21,Math SL,Math Studies,1,1,1,1,0,0,0.5,0.5,0.5,0,1,0,0,0,0.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.5,1,0,0,0
Student 22,Math HL,Math Studies,1,1,1,1,0,0.5,1,0,0,0,1,0,1,0,1,1,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0.5
Student 23,Math SL,Math Studies,1,1,1,0,1,0,1,0.5,0.5,0.5,1,0,1,0,0.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Student 24,Math HL,Math HL,1,1,1,1,1,1,1,0,1,0,1,0,0.5,0,0.5,1,1,1,0,0.5,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
Student 25,Math HL,Math Studies,1,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0
Student 26,Math SL,Math SL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,1,0,1,1,1,1,0.5
Student 27,Math HL,Math HL,1,1,1,1,1,1,1,1,0.5,1,0,1,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0
Student 28,Math HL,Math SL,1,1,1,1,0.5,0.5,0,1,1,0,1,0.5,1,0,1,0.5,0,0.5,0,1,0,0,1,0,0,0,0,0.5,1,0,0.5,0,0,1,0,0
Student 29,Math Studies,Math Studies,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.5,1,0.5,1,0,1,0.5,0,1,1,1,0,1,0.5,1,0,1,1,0.5,0,0,0
Student 30,Math HL,Math HL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0.5,0
