Student,Currently in,Recommended Course,num_ops_1_1,num_ops_2_1,num_ops_3_1,alg_exp_1_1,alg_exp_2_1,alg_exp_3_1,expn_1_1,expn_2_1,expn_3_2,num_ops_4_1,linear_1_3,linear_2_2,alg_exp_4_2,geom_1_2,linear_3_2,geom_2_1,geom_3_2,func_1_2,quad_1_2,quad_2_2,quad_3_3,quad_4_3,func_2_2,func_3_3,func_4_3,func_5_3,expn_4_2,expn_5_2,expn_6_3,expn_7_2,expn_8_3,quad_5_3
Student 64,Math HL,Math SL,1,1,1,1,1,0.5,1,0.5,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0.5,1,0.5,0,0,0,0.5,0,0.5
Student 65,Math SL,Math Studies,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0.5,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0
Student 66,Math SL,Math SL,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0.5,1,1,0,0,0,0
Student 67,Math HL,Math SL,1,1,1,1,1,1,1,1,0.5,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0.5,1,0,0.5
Student 68,Math SL,Math Studies,1,1,1,1,1,1,0.5,1,0,1,0,0,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Student 69,Math SL,Math SL,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0.5
Student 70,Math HL,Math HL,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.5,1,0,0,0
Student 71,Math HL,Math SL,1,1,1,1,1,0.5,1,1,1,0,0,1,0,0,0.5,0.5,1,1,0,0,0.5,0,1,0,0,0,0,1,0,0,0,0.5
Student 72,Math SL,Math SL,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0.5
Student 73,Math SL,Math SL,1,1,1,1,0,0,1,1,1,1,0,0,0.5,1,0,0,1,0.5,0,0.5,0.5,0,0,0,1,0.5,1,1,0,1,0,0
Student 74,Math SL,Math SL,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0.5,0.5,0,1,0.5,1,1,0.5,0,1,1,1,0
Student 75,Math SL,Math Studies,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0.5,0,0.5,0,0,1,0.5,0,0,0,0,0,1,0,0
Student 76,Math HL,Math SL,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0.5,1,1,1,0,0,1,1,1,0.5,0
Student 77,Math Studies,Math Studies,1,1,1,1,0,1,0,0,0,1,0,0,0.5,0,0,1,0,0.5,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0
Student 78,Math Studies,Math Studies,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 79,Math HL,Math SL,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0
Student 80,Math SL,Math Studies,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Student 81,Maths Studies,Math Studies,1,1,1,0,0.5,1,0.5,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
